nazwa,miasto,branza,kod
"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""OPA-REM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Luszowice,Roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych,"['42', '21', 'Z']"
"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""OPA-REM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Luszowice,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych,"['41', '20', 'Z']"
"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""OPA-REM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Luszowice,Naprawa i konserwacja maszyn,"['33', '12', 'Z']"
"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""OPA-REM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Luszowice,Naprawa i konserwacja urządzeń elektrycznych,"['33', '14', 'Z']"
"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""OPA-REM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Luszowice,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia","['33', '20', 'Z']"
"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""OPA-REM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Luszowice,Działalność w zakresie inżynierii i związane z nią doradztwo techniczne,"['71', '12', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych,"['41', '20', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,"Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane","['42', '99', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,Rozbiórka i burzenie obiektów budowlanych,"['43', '11', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,Przygotowanie terenu pod budowę,"['43', '12', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,Wykonywanie pozostałych instalacji budowlanych,"['43', '29', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,"Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane","['43', '99', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,Kupno i sprzedaż nieruchomości na własny rachunek,"['68', '10', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi,"['68', '20', 'Z']"
BROWARY PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Olsztyn,Pośrednictwo w obrocie nieruchomościami,"['68', '31', 'Z']"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,"Działalność związana ze zbieraniem, przetwarzaniem i unieszkodliwianiem odpadów; Odzysk surowców","['38', None, None]"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,"Wytwarzanie, przesyłanie, dystrybucja i handel energią elektryczną","['35', '1', None]"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,Wytwarzanie paliw gazowych; Dystrybucja i handel paliwami gazowymi w systemie sieciowym,"['35', '2', None]"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami,"['39', '00', 'Z']"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,"Handel hurtowy, z wyłączeniem handlu pojazdami samochodowymi","['46', None, None]"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,"Handel detaliczny, z wyłączeniem handlu detalicznego pojazdami samochodowymi","['47', None, None]"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,Kupno i sprzedaż nieruchomości na własny rachunek,"['68', '10', 'Z']"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi,"['68', '20', 'Z']"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,Pozostałe badania i analizy techniczne,"['71', '20', 'B']"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych,"['72', '1', None]"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana","['74', '90', 'Z']"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,"Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych","['70', '10', 'Z']"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,"Pozostała finansowa działalność usługowa, gdzie indziej niesklasyfikowana, z wyłączeniem ubezpieczeń i funduszów emerytalnych","['64', '99', 'Z']"
DUDEK & KOSTEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania,"['70', '22', 'Z']"
FIRMA CHRZANOWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ,Tychy,Pozaszkolne formy edukacji z zakresu nauki jazdy i pilotażu,"['85', '53', 'Z']"
FIRMA CHRZANOWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ,Tychy,Pozostała sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach,"['47', '19', 'Z']"
FIRMA CHRZANOWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ,Tychy,"Konserwacja i naprawa pojazdów samochodowych, z wyłączeniem motocykli","['45', '20', 'Z']"
FIRMA CHRZANOWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ,Tychy,"Sprzedaż detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli","['45', '32', 'Z']"
FIRMA CHRZANOWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ,Tychy,Działalność usługowa wspomagająca transport lądowy,"['52', '21', 'Z']"
FIRMA CHRZANOWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ,Tychy,Wynajem i dzierżawa samochodów osobowych i furgonetek,"['77', '11', 'Z']"
FIRMA CHRZANOWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ,Tychy,Pozostałe pośrednictwo pieniężne,"['64', '19', 'Z']"
FIRMA CHRZANOWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ,Tychy,Praktyka lekarska,"['86', '2', None]"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,Roboty budowlane specjalistyczne,"['43', None, None]"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,"Handel detaliczny, z wyłączeniem handlu detalicznego pojazdami samochodowymi","['47', None, None]"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,Magazynowanie i przechowywanie pozostałych towarów,"['52', '10', 'B']"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,Działalność związana z obsługą rynku nieruchomości,"['68', None, None]"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,Doradztwo związane z zarządzaniem,"['70', '2', None]"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,Działalność w zakresie architektury i inżynierii; Badania i analizy techniczne,"['71', None, None]"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,Działalność w zakresie specjalistycznego projektowania,"['74', '10', 'Z']"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,Wynajem i dzierżawa,"['77', None, None]"
VIRIDCONSTRUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI UKŁADOWEJ.,Warszawa,Działalność usługowa związana z utrzymaniem porządku w budynkach i zagospodarowaniem terenów zieleni,"['81', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Produkcja artykułów spożywczych,"['10', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Produkcja napojów,"['11', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Poligrafia i reprodukcja zapisanych nośników informacji,"['18', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Produkcja komputerów, wyrobów elektronicznych i optycznych","['26', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Naprawa, konserwacja i instalowanie maszyn i urządzeń","['33', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Odprowadzanie i oczyszczanie ścieków,"['37', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Działalność związana ze zbieraniem, przetwarzaniem i unieszkodliwianiem odpadów; Odzysk surowców","['38', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami,"['39', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Roboty budowlane związane ze wznoszeniem budynków,"['41', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Roboty związane z budową obiektów inżynierii lądowej i wodnej,"['42', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Roboty budowlane specjalistyczne,"['43', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Handel hurtowy i detaliczny pojazdami samochodowymi; Naprawa pojazdów samochodowych,"['45', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Handel hurtowy, z wyłączeniem handlu pojazdami samochodowymi","['46', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Handel detaliczny, z wyłączeniem handlu detalicznego pojazdami samochodowymi","['47', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Pozostały transport lądowy pasażerski,"['49', '3', None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Transport drogowy towarów oraz działalność usługowa związana z przeprowadzkami,"['49', '4', None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Magazynowanie i działalność usługowa wspomagająca transport,"['52', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Pozostała działalność pocztowa i kurierska,"['53', '2', None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Zakwaterowanie,"['55', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność usługowa związana z wyżywieniem,"['56', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność wydawnicza,"['58', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Działalność związana z produkcją filmów, nagrań wideo, programów telewizyjnych, nagrań dźwiękowych i muzycznych","['59', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Telekomunikacja,"['61', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność związana z oprogramowaniem i doradztwem w zakresie informatyki oraz działalność powiązana,"['62', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność usługowa w zakresie informacji,"['63', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszów emerytalnych","['64', '9', None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych","['66', '19', 'Z']"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność związana z obsługą rynku nieruchomości,"['68', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność firm centralnych (head offices); Doradztwo związane z zarządzaniem,"['70', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność w zakresie architektury i inżynierii oraz związane z nią doradztwo techniczne,"['71', '1', None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Reklama, badanie rynku i opinii publicznej","['73', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Pozostała działalność profesjonalna, naukowa i techniczna","['74', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Wynajem i dzierżawa,"['77', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność związana z zatrudnieniem,"['78', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,"Pozostała działalność usługowa w zakresie rezerwacji, gdzie indziej niesklasyfikowana","['79', '90', 'C']"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność detektywistyczna i ochroniarska,"['80', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność usługowa związana z utrzymaniem porządku w budynkach i zagospodarowaniem terenów zieleni,"['81', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność związana z administracyjną obsługą biura i pozostała działalność wspomagająca prowadzenie działalności gospodarczej,"['82', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Pozaszkolne formy edukacji,"['85', '5', None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność wspomagająca edukację,"['85', '60', 'Z']"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Pozostała pomoc społeczna bez zakwaterowania,"['88', '9', None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność związana z wystawianiem przedstawień artystycznych,"['90', '01', 'Z']"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność wspomagająca wystawianie przedstawień artystycznych,"['90', '02', 'Z']"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność związana z grami losowymi i zakładami wzajemnymi,"['92', '00', 'Z']"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność rozrywkowa i rekreacyjna,"['93', '2', None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Naprawa i konserwacja komputerów i artykułów użytku osobistego i domowego,"['95', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Pozostała indywidualna działalność usługowa,"['96', None, None]"
MG MARKET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Szczecin,Działalność rachunkowo-księgowa; Doradztwo podatkowe,"['69', '20', 'Z']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,"Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach z przewagą żywności, napojów i wyrobów tytoniowych","['47', '11', 'Z']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,Pozostała sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach,"['47', '19', 'Z']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,Transport drogowy towarów,"['49', '41', 'Z']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,Działalność usługowa wspomagająca transport lądowy,"['52', '21', 'Z']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,Przeładunek towarów w pozostałych punktach przeładunkowych,"['52', '24', 'C']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi,"['68', '20', 'Z']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,Działalność pozostałych agencji transportowych,"['52', '29', 'C']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,"Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu","['10', '11', 'Z']"
"""EURO-HURT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Gorzów Wielkopolski,"Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego","['10', '13', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych,"['41', '20', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,Roboty związane z budową dróg i autostrad,"['42', '11', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,Roboty związane z budową mostów i tuneli,"['42', '13', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,Przygotowanie terenu pod budowę,"['43', '12', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,Wykonywanie wykopów i wierceń geologiczno-inżynierskich,"['43', '13', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,"Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych, gazowych i klimatyzacyjnych","['43', '22', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,"Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane","['43', '99', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,Kupno i sprzedaż nieruchomości na własny rachunek,"['68', '10', 'Z']"
PROFITECT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Ostrów Wielkopolski,Działalność w zakresie architektury,"['71', '11', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,Przetwórstwo herbaty i kawy,"['10', '83', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,Produkcja przypraw,"['10', '84', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,"Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana","['10', '89', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,"Działalność agentów zajmujących się sprzedażą żywności, napojów i wyrobów tytoniowych","['46', '17', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,Działalność agentów specjalizujących się w sprzedaży pozostałych określonych towarów,"['46', '18', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,Działalność agentów zajmujących się sprzedażą towarów różnego rodzaju,"['46', '19', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,Sprzedaż hurtowa owoców i warzyw,"['46', '31', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,"Sprzedaż hurtowa cukru, czekolady, wyrobów cukierniczych i piekarskich","['46', '36', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,"Sprzedaż hurtowa herbaty, kawy, kakao i przypraw","['46', '37', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,"Sprzedaż hurtowa pozostałej żywności, włączając ryby, skorupiaki i mięczaki","['46', '38', 'Z']"
"""JAPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Złochowice,"Sprzedaż hurtowa niewyspecjalizowana żywności, napojów i wyrobów tytoniowych","['46', '39', 'Z']"
